,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,Types,All Sizes
53,Depths,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This spun polyester collared kurta set comes in a rich navy blue.,"Rs.5,990.00","Rs.3,893.50",Navy Blue,Toyobo,Regular Fit,"XS,S,M,L,XL"
54,Everest,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,A pure white kurta suit with a classic collar and matching bottom.,"Rs.5,990.00","Rs.3,893.50",White,Toyobo,Regular Fit,"XS,S,M,L,XL"
55,Enrich,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,A grey two piece set featuring a kurta with a band collar.,"Rs.5,990.00","Rs.3,893.50",Grey,Toyobo,Regular Fit,"XS,S,M,L,XL"
56,Ingenue,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,Make a statement with this mauve band-collared kurta set.,"Rs.5,990.00","Rs.3,893.50",Mauve,Toyobo,Regular Fit,"XS,S,M,L,XL"
57,Tourmaline,"Plain Front with Embroidered Neckline & Cuffs, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,An ebony jacquard kurta with embroidery worked into the neckline and cuffs.,"Rs.2,490.00","Rs.1,618.50",Black,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
58,Azure,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta is cut from navy blue herringbone, and features intricate embroidery and a band collar.","Rs.4,490.00","Rs.2,918.50",Navy ﻿,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
59,Gingham,,Chelsea Boot,Leather chelsea boots in classic black are an all-season must-have.,"Rs.4,490.00","Rs.2,918.50",Black Material: Leathe,s:  Color: Black Material: Leather,,"40,41,42,43,44,45"
60,Devon A,,Regular Fit Chinos,These black regular cut trousers are made from pima cotton for a wrinkle-free fit.,"Rs.4,490.00","Rs.2,918.50",Black,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
61,Tusk,,Regular Fit Casual Shirt,A sumptuous 100% cotton Oxford in ivory with a regular fit.,"Rs.2,490.00","Rs.1,618.50",White,100% cotton,,"S,M,L,XL"
62,Pointillism,,Regular Fit Casual Shirt,A cotton dobby piece in a deep blue hue with a smattering of dots.,"Rs.2,990.00","Rs.1,943.50",Blue,100% cotton,,"S,M,L,XL"
63,Azuro,,Regular Fit Casual Shirt,"A minimalist pattern and a rich, peacock blue hue make this cotton dobby piece stand out.","Rs.2,990.00","Rs.1,943.50",Blue,100% cotton,,"S,M,L,XL"
64,Woody,,Regular Fit Casual Shirt,A slate blue tartan overlaid onto a steely grey yarn backdrop.,"Rs.3,490.00","Rs.2,268.50",Blue & Grey,100% cotton,,"S,M,L,XL"
65,Picnic,,Regular Fit Casual Shirt,A maroon hue upgrades this checked poplin shirt.,"Rs.2,990.00","Rs.1,943.50",Maroon,100% cotton,,"S,M,L,XL"
66,Dapper,,Regular Fit Casual Shirt,This monochrome checked shirt in poplin comes in a regular fit.,"Rs.2,990.00","Rs.1,943.50",Blue & White,100% cotton,,"S,M,L,XL"
67,Sky,,Regular Fit Casual Shirt,This striped powder blue Oxford comes in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Light Blue,100% cotton,,"S,M,L,XL"
68,Herder,,Regular Fit Casual Shirt,This Oxford striped shirt comes with the palest shade of pink for the perfect pastel fit.,"Rs.2,490.00","Rs.1,618.50",Pink,100% cotton,,"S,M,L,XL"
69,Mariner C,,Tapered Fit Denim,Tapered jeans with a black wash.,"Rs.2,790.00","Rs.1,813.50",Black,Denim,,"30,32,34,36,38,40"
70,Mariner B,,Tapered Fit Denim,Navy blue denim with a sleek tapered fit.,"Rs.2,790.00","Rs.1,813.50",Navy,Denim,,"30,32,34,36,38,40,42"
71,Mariner A,,Tapered Fit Denim,Denim jeans with a tapered leg in a vintage-inspired light blue.,"Rs.2,790.00","Rs.1,813.50",Light Blue,Denim,,"30,32,34,36,38,40,42"
72,Shadow B,,Slim Fit Denim,Steely hued denim jeans with a slim fit.,"Rs.2,790.00","Rs.1,813.50",Grey,Denim,,"30,32,34,36,38,40,42"
73,Shadow A,,Slim Fit Denim,Slim fit jet-black denim for instant street style.,"Rs.2,790.00","Rs.1,813.50",Black,Denim,,"30,32,34,36,38,40"
74,Jenson B,,Regular Fit Denim,A black rinse gives this pair of regular fit jeans a rock-star edge.,"Rs.2,490.00","Rs.1,618.50",Rinse Black,Denim,,"30,32,34,36,38,40"
75,Jenson A,,Regular Fit Denim,Straight light blue denim in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Light Blue,Denim,,"30,32,34,36,38,40"
76,Devon B,,Regular Fit Chinos,A classic khaki hue and pima cotton keep these regular-fit trousers looking fresh all day.,"Rs.4,490.00","Rs.2,918.50",Khaki,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
77,Wesley B,,Tapered Fit Chinos,These tapered olive green chambray trousers work equally well for the office or for a dinner party.,"Rs.3,490.00","Rs.2,268.50",Olive,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
78,Cubana C,,Slim Fit Chinos,A rich olive green hued satin and a stylish slim fit make these trousers a must-have piece.,"Rs.2,490.00","Rs.1,618.50",Olive,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40"
79,Cubano B,,Slim Fit Chinos,Slim fit navy trousers in a sumptuous satin finish.,"Rs.2,490.00","Rs.1,618.50",Navy,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40"
80,Country Club C,,Regular Fit Chinos,These satin trousers come in a versatile sandy beige hue with a regular fit.,"Rs.2,490.00","Rs.1,618.50",Beige,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
81,Country Club B,,Regular Fit Chinos,These navy satin trousers boast a classic regular fit.,"Rs.2,490.00","Rs.1,618.50",Navy,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
82,Country Club A,,Regular Fit Chinos,Luxurious ebony hued satin trousers in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Black,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
83,Suave C,,Slim Fit Chinos,"These dark grey cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Dark Grey,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
84,Suave B,,Slim Fit Chinos,"These sandy-hued cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Beige,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
85,Suave A,,Slim Fit Chinos,"These dark grey cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Navy,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
86,Moss,"Embroidered Front, Plain Back, Band Neck",Waist Coat,"This fine olive green waistcoat is cut from viscose linen, and features intricate embroidery.","Rs.4,490.00","Rs.2,918.50",Olive,Viscose Linen,Regular Fit,"S,M,L,XL"
87,Spring,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,Luxe 100% cotton jacquard in a blue hue with a band collar.,"Rs.2,790.00","Rs.1,813.50",Blue,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
88,Cabernet,"Plain Front with Embroidery on Shoulders & Sleeves, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,An oxblood fine herringbone kurta with tasteful embroidery on the shoulders and sleeves.,"Rs.2,490.00","Rs.1,618.50",Burgundy,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
89,Marble,"Plain Front with Embroidered Neckline & Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This rugged smokey grey cotton khaddar piece gets added refinement from the embroidery on its neckline and placket.,"Rs.2,790.00","Rs.1,813.50",Dark Grey,100% Cotton Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
90,Rosewood,"Plain Front, Plain Back, Band Neck",Waist Coat,A stylish and minimalistic silk karandi waistcoat in a rich bordeaux shade.,"Rs.5,490.00","Rs.3,568.50",Maroon,Silk Karandi,Regular Fit,"S,M,L,XL"
91,Gris,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This grey kurta comes in a luxe jacquard with a stylish band collar.,"Rs.2,790.00","Rs.1,813.50",Grey,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
92,River,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This eclectic blue printed kurta comes in 100% cotton.,"Rs.2,490.00","Rs.1,618.50",Blue,100% Cotton-Printed,"Regular Fit,Slim Fit","XS,S,M,L,XL"
93,Antique,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This cotton jacquard kurta features a band collar and comes in a rust hue.,"Rs.2,790.00","Rs.1,813.50",Rust,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
