,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
135,Keys,,Western Top This loose sleeves printed top is a statement piece,,"Rs.2,990.00","Rs.1,943.50",Black And White,Polyester Fabric,"XS,S,M,L,XL",Style Note:  Pair this classy top with your favourite pair of black skinny jeans.
136,Cloak,,Western Top This pristine white shirt is a breezy and classic summer piece,,"Rs.2,990.00","Rs.1,943.50",White,Polyester Stretch Fabric,"XS,S,M,L,XL",Style Note:  A dainty pair of crystal hoops will add a refined edge to this outfit.
137,G.I.,,Cargo Pants These sleek cargo pants have a military inspired vibe that is sure to add an edge to your look,,"Rs.2,990.00","Rs.1,943.50",Army Green,Cotton,"XS,S,M,L,XL","Style Note:  Pair these versatile pants with a variety of tops: a crew neck, a chambray shirt, and whatever else you can think of."
138,Crop,,Dress Pants These fitted dress pants are comfortable and sturdy enough to be worn regularly,,"Rs.2,790.00","Rs.1,813.50",Blue,Polyester,"XS,S,M,L,XL",Style Note:  A chic white button down would look excellent tucked into these pants.
139,Ride or die,,Dress Pants The amazing fit and stylish cut of these pale grey pants makes them an absolute must-have,,"Rs.2,790.00","Rs.1,813.50",Ivory,Polyester,"XS,S,M,L,XL",Style Note:  A solid tee and some fun earrings are all you need to complete this look.
140,Fresh drop,,Palazzo These deep cherry coloured palazzos will add a pop of refined colour to your ensemble,,"Rs.2,490.00","Rs.1,618.50",Rust,Polyester Stretch,"XS,S,M,L,XL",Style Note:  Add a pair of glam drop earrings to the outfit to complete the ensemble.
141,Jade statue,,Palazzo These emerald green palazzos are in a wonderful jewel tone that will add a luxe vibe to your look,,"Rs.2,490.00","Rs.1,618.50",Green,Polyester Stretch,"XS,S,M,L,XL",Style Note:  A woven straw bag would look great against the green of these palazzos.
142,Sassy,,"Culottes The linear stripes are flattering on all body types, and the fun colour combination makes these pants perfect for the summer",,"Rs.2,490.00","Rs.1,618.50",Blue And White,Polyester,"XS,S,M,L,XL","Style Note:  Pair these trousers with a classic white tee, or a collared shirt- tucked in for a sleek look."
143,Spiderweb,,Jacket,This highly stylish white mesh jacket is ideal for serving up looks both inside and outside the gym.,"Rs.2,490.00","Rs.1,618.50",White,Mesh,"XS,S,M,L,XL",
144,Reeve,,Jacket,This minimalist kimono style jacket comes in the perfect icy grey hue.,"Rs.7,990.00","Rs.5,193.50",Heather Grey,Melange,"XS,S,M,L,XL",
145,Slate,,Jacket,Elegance and minimalism come together in this slate blue kimono-style short jacket.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
146,Suki,,Jacket,A kimono style short jacket in a statement burgundy hue.,"Rs.7,990.00","Rs.5,193.50",Maroon,Melange,"XS,S,M,L,XL",
147,Cerulean,,Jacket,A round collared jacket with utilitarian pocket details in an opulent royal blue hue.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
148,BluJay,,Jacket,A classic blazer is an essential building block for any wardrobe.,"Rs.7,990.00","Rs.5,193.50",Navy,Melange,"XS,S,M,L,XL",
149,Tabitha,,Jacket,A shawl collar adds a feminine touch to this mid--length wintry heather grey coat.,"Rs.7,990.00","Rs.5,193.50",Heather Grey,Melange,"XS,S,M,L,XL",
150,Wild West,,Boot Cut Pants,This pair of jeans comes in a boot cut and a flattering dark blue wash.,"Rs.2,290.00","Rs.1,488.50",Navy,Denim,"26,28,30,32,34",
151,Stronger,,T-Shirt,A white cotton tee printed with 'Stay Original.',"Rs.1,290.00",Rs.838.50,White,100%cotton,"XS,S,M,L,XL",
